Fx,Contract,Deployment,Authorized_Caller_Addresses,Authorized_Caller_Names
activate(),BalancerTokenAdmin,20220325-balancer-token-admin,['0xeb151668006CD04DAdD098AFd0a82e78F77076c3'],['balancer/veBALDeploymentCoordinator']
addArbitrumGauge(address),GaugeAdder,20220325-gauge-adder,['0xc38c5f97B34E175FFd35407fc91a937300E33860'],['multisigs/lm']
addArbitrumGauge(address),GaugeAdder,20220628-gauge-adder-v2,['0xc38c5f97B34E175FFd35407fc91a937300E33860'],['multisigs/lm']
addArbitrumGauge(address),GaugeAdder,20230109-gauge-adder-v3,['0xc38c5f97B34E175FFd35407fc91a937300E33860'],['multisigs/lm']
addEthereumGauge(address),GaugeAdder,20220325-gauge-adder,['0xc38c5f97B34E175FFd35407fc91a937300E33860'],['multisigs/lm']
addEthereumGauge(address),GaugeAdder,20220628-gauge-adder-v2,['0xc38c5f97B34E175FFd35407fc91a937300E33860'],['multisigs/lm']
addEthereumGauge(address),GaugeAdder,20230109-gauge-adder-v3,['0xc38c5f97B34E175FFd35407fc91a937300E33860'],['multisigs/lm']
"addGauge(address,string)",GaugeAdder,20230519-gauge-adder-v4,['0xc38c5f97B34E175FFd35407fc91a937300E33860'],['multisigs/lm']
"addGaugesWithVerifiedType(string,address[])",L2GaugeCheckpointer,20230527-l2-gauge-checkpointer,['0xc38c5f97B34E175FFd35407fc91a937300E33860'],['multisigs/lm']
"addGaugesWithVerifiedType(string,address[])",StakelessGaugeCheckpointer,20230915-stakeless-gauge-checkpointer-v2,['0xc38c5f97B34E175FFd35407fc91a937300E33860'],['multisigs/lm']
addGnosisGauge(address),GaugeAdder,20230109-gauge-adder-v3,['0xc38c5f97B34E175FFd35407fc91a937300E33860'],['multisigs/lm']
addOptimismGauge(address),GaugeAdder,20220628-gauge-adder-v2,['0xc38c5f97B34E175FFd35407fc91a937300E33860'],['multisigs/lm']
addOptimismGauge(address),GaugeAdder,20230109-gauge-adder-v3,['0xc38c5f97B34E175FFd35407fc91a937300E33860'],['multisigs/lm']
addPolygonGauge(address),GaugeAdder,20220325-gauge-adder,['0xc38c5f97B34E175FFd35407fc91a937300E33860'],['multisigs/lm']
addPolygonGauge(address),GaugeAdder,20220628-gauge-adder-v2,['0xc38c5f97B34E175FFd35407fc91a937300E33860'],['multisigs/lm']
addPolygonGauge(address),GaugeAdder,20230109-gauge-adder-v3,['0xc38c5f97B34E175FFd35407fc91a937300E33860'],['multisigs/lm']
addPoolFactory(address),PoolRecoveryHelper,20221123-pool-recovery-helper,['0x02f35dA6A02017154367Bc4d47bb6c7D06C7533B'],['multisigs/blabs_ops']
